Channel Pedestal CM_slope CM_offset kappa_BXm1
0 87.947667 0.229027 1.074858 0.000000
1 87.449362 0.219637 0.228055 0.000000
2 87.010367 0.259206 0.761869 0.000000
3 84.502891 0.264422 0.840015 0.000000
4 86.616926 0.293418 0.732354 0.000000
5 88.585825 0.297813 0.797989 0.000000
6 86.170455 0.294949 0.819195 0.000000
7 87.290570 0.300584 0.539585 0.000000
8 89.846491 0.238211 0.075205 0.000000
9 83.959629 0.249491 0.892457 0.000000
10 87.483453 0.281686 0.949687 0.000000
11 85.331041 0.269274 0.730146 0.000000
12 88.414972 0.263019 0.829416 0.000000
13 88.491926 0.241283 0.021471 0.000000
14 86.387161 0.273609 0.716280 0.000000
15 85.922149 0.243524 0.801711 0.000000
16 87.445973 0.280667 0.794037 0.000000
17 88.044757 0.223157 0.210901 0.000000
18 89.532396 0.209636 0.424463 0.000000
19 87.992923 0.301788 0.045825 0.000000
20 86.820474 0.310276 0.524879 0.000000
21 85.273425 0.282618 0.788407 0.000000
22 89.899721 0.285450 0.670295 0.000000
23 87.480762 0.252466 0.656547 0.000000
24 88.145833 0.275200 0.563457 0.000000
25 86.725678 -0.502473 1.951593 0.000000
26 88.365032 -0.976257 2.109766 0.000000
27 89.109151 0.204973 0.167549 0.000000
28 87.071770 -0.211188 2.231891 0.000000
29 89.000100 0.254651 0.847261 0.000000
30 88.941886 0.262193 1.256467 0.000000
31 88.720793 -0.019595 3.131679 0.000000
32 86.024920 0.225136 1.401840 0.000000
33 87.667663 -0.035906 1.596148 0.000000
34 87.115530 -2.251986 10.089983 0.000000
35 87.236643 0.156263 0.943076 0.000000
36 87.845295 0.194360 0.931120 0.000000
37 85.959729 1.083807 0.098109 0.000000
38 88.278808 0.916193 -0.098109 0.000000
64 83.084131 -0.022685 1.440978 0.000000
65 80.538975 -0.024199 1.284919 0.000000
66 84.688995 -0.013321 1.195133 0.000000
67 81.633872 -0.023210 0.583319 0.000000
68 83.410486 0.009161 1.121016 0.000000
69 84.784589 -0.030880 1.212836 0.000000
70 84.557217 -0.019502 1.458296 0.000000
