Channel Pedestal CM_slope CM_offset kappa_BXm1
0 1.205846 0.229027 1.074858 0.000000
1 0.353673 0.219637 0.228055 0.000000
2 0.910118 0.259206 0.761869 0.000000
3 0.991246 0.264422 0.840015 0.000000
4 0.900169 0.293418 0.732354 0.000000
5 0.968318 0.297813 0.797989 0.000000
6 0.987886 0.294949 0.819195 0.000000
7 0.711499 0.300584 0.539585 0.000000
8 0.211446 0.238211 0.075205 0.000000
9 1.035149 0.249491 0.892457 0.000000
10 1.110793 0.281686 0.949687 0.000000
11 0.884153 0.269274 0.730146 0.000000
12 0.979845 0.263019 0.829416 0.000000
13 0.159468 0.241283 0.021471 0.000000
14 0.872766 0.273609 0.716280 0.000000
15 0.940990 0.243524 0.801711 0.000000
16 0.954559 0.280667 0.794037 0.000000
17 0.338532 0.223157 0.210901 0.000000
18 0.544360 0.209636 0.424463 0.000000
19 0.218428 0.301788 0.045825 0.000000
20 0.702336 0.310276 0.524879 0.000000
21 0.950045 0.282618 0.788407 0.000000
22 0.833553 0.285450 0.670295 0.000000
23 0.800941 0.252466 0.656547 0.000000
24 0.720853 0.275200 0.563457 0.000000
25 1.664213 -0.502473 1.951593 0.000000
26 1.551413 -0.976257 2.109766 0.000000
27 0.284779 0.204973 0.167549 0.000000
28 2.111105 -0.211188 2.231891 0.000000
29 0.992904 0.254651 0.847261 0.000000
30 1.406424 0.262193 1.256467 0.000000
31 3.120472 -0.019595 3.131679 0.000000
32 1.530603 0.225136 1.401840 0.000000
33 1.575612 -0.035906 1.596148 0.000000
34 8.801999 -2.251986 10.089983 0.000000
35 1.032448 0.156263 0.943076 0.000000
36 1.042280 0.194360 0.931120 0.000000
268435456 0.717973 1.083807 0.098109 0.000000
268435457 0.425892 0.916193 -0.098109 0.000000
64 1.424195 -0.022685 1.440978 0.000000
65 1.267016 -0.024199 1.284919 0.000000
66 1.185278 -0.013321 1.195133 0.000000
67 0.566148 -0.023210 0.583319 0.000000
68 1.127794 0.009161 1.121016 0.000000
