Channel Pedestal CM_slope CM_offset kappa_BXm1
0 87.947667 0.191060 71.302626 0.000000
1 87.449362 0.208635 69.273213 0.000000
2 87.010367 0.215997 68.192859 0.000000
3 84.502891 0.193975 67.603973 0.000000
4 86.616926 0.249104 64.915152 0.000000
5 88.585825 0.194280 71.660335 0.000000
6 86.170455 0.215453 67.400324 0.000000
7 87.290570 0.220264 68.101342 0.000000
8 89.846491 0.202025 72.246196 0.000000
9 83.959629 0.232225 63.728315 0.000000
10 87.483453 0.231922 67.278553 0.000000
11 85.331041 0.207569 67.247756 0.000000
12 88.414972 0.232519 68.158099 0.000000
13 88.491926 0.194461 71.550614 0.000000
14 86.387161 0.231817 66.191476 0.000000
15 85.922149 0.195770 68.866782 0.000000
16 87.445973 0.221348 68.162333 0.000000
17 88.044757 0.205020 70.183559 0.000000
18 89.532396 0.170204 74.704317 0.000000
19 87.992923 0.249994 66.213613 0.000000
20 86.820474 0.198077 69.564191 0.000000
21 85.273425 0.222282 65.908341 0.000000
22 89.899721 0.206974 71.868275 0.000000
23 87.480762 0.266101 64.298267 0.000000
24 88.145833 0.251748 66.213763 0.000000
25 86.725678 0.229056 66.770516 0.000000
26 88.365032 0.224621 68.796237 0.000000
27 89.109151 0.166361 74.615896 0.000000
28 87.071770 0.213245 68.494013 0.000000
29 89.000100 0.222153 69.646332 0.000000
30 88.941886 0.184462 72.871730 0.000000
31 88.720793 0.211288 70.313527 0.000000
32 86.024920 0.230932 65.906291 0.000000
33 87.667663 0.225078 68.059030 0.000000
34 87.115530 0.210777 68.752803 0.000000
35 87.236643 0.211999 68.767459 0.000000
36 87.845295 0.182320 71.961710 0.000000
268435456 85.959729 1.034504 -4.165464 0.000000
268435457 88.278808 0.965496 4.165464 0.000000
64 83.084131 -0.055576 87.826304 0.000000
65 80.538975 -0.081693 87.509655 0.000000
66 84.688995 -0.059278 89.747036 0.000000
67 81.633872 -0.069170 87.536001 0.000000
68 83.410486 -0.038617 86.705605 0.000000
69 84.784589 -0.033288 87.624940 0.000000
70 84.557217 -0.028429 86.983018 0.000000
71 81.961623 -0.042239 85.565810 0.000000
72 82.446770 0.107696 73.257333 0.000000
73 80.953648 -0.052374 85.422630 0.000000
74 83.484450 -0.058518 88.477634 0.000000
75 85.085327 -0.048862 89.254609 0.000000
76 81.949661 -0.042664 85.590076 0.000000
77 83.889753 -0.069365 89.808542 0.000000
78 83.024821 -0.040436 86.475134 0.000000
79 86.062600 -0.043616 89.784292 0.000000
80 82.883373 -0.042013 86.468273 0.000000
81 84.214414 0.111514 74.699163 0.000000
82 84.234549 0.123336 73.710562 0.000000
83 84.307715 0.016635 82.888319 0.000000
84 83.118820 -0.001423 83.240245 0.000000
85 85.745415 -0.016820 87.180614 0.000000
86 84.982556 -0.035656 88.024977 0.000000
87 83.529306 -0.034879 86.505466 0.000000
88 83.379187 -0.033634 86.249107 0.000000
89 83.897628 -0.047785 87.974984 0.000000
90 84.615730 -0.019579 86.286362 0.000000
91 85.931419 0.106008 76.885995 0.000000
92 82.212121 -0.025665 84.402026 0.000000
93 87.163078 -0.002457 87.372706 0.000000
94 86.450159 -0.020309 88.183063 0.000000
95 84.589912 -0.026503 86.851318 0.000000
96 86.051934 -0.035388 89.071542 0.000000
97 92.723684 0.001894 92.562056 0.000000
98 82.074063 -0.038847 85.388791 0.000000
99 84.675538 -0.033903 87.568384 0.000000
100 83.393242 0.081925 76.402769 0.000000
268435520 87.384669 1.013168 0.933330 0.000000
268435521 83.270833 0.986832 -0.933330 0.000000
128 86.572368 0.447544 46.037330 0.000000
129 89.192185 0.512543 42.770018 0.000000
130 88.359151 0.446051 47.959312 0.000000
131 89.843401 0.463192 47.891053 0.000000
132 88.813696 0.522458 41.493476 0.000000
133 103.034888 0.620386 46.845157 0.000000
134 88.361344 0.359213 55.826566 0.000000
135 88.152113 0.448188 47.558664 0.000000
136 89.664474 0.096604 80.914855 0.000000
137 90.090012 0.372013 56.395969 0.000000
138 90.578449 0.525791 42.956348 0.000000
139 90.317285 0.341664 59.372040 0.000000
140 86.693082 0.356250 54.426750 0.000000
141 89.427831 0.362862 56.562570 0.000000
142 88.876196 0.341050 57.986503 0.000000
143 89.760766 0.367865 56.442436 0.000000
144 89.193182 0.446605 48.743120 0.000000
145 88.469597 0.093127 80.034889 0.000000
146 89.565490 0.104046 80.141822 0.000000
147 89.735845 0.295687 62.954794 0.000000
148 89.001894 0.315571 60.419875 0.000000
149 90.306818 0.262196 66.559127 0.000000
150 91.940490 0.055112 86.948907 0.000000
151 87.573764 0.402962 51.076600 0.000000
152 85.381380 0.114199 75.038091 0.000000
153 89.335028 0.227840 68.699081 0.000000
154 89.390849 0.212227 70.169011 0.000000
155 90.321272 0.097258 81.512421 0.000000
156 89.103469 0.255632 65.950271 0.000000
157 88.302831 0.263587 64.429146 0.000000
158 87.199262 0.290062 60.927700 0.000000
159 90.919159 0.282909 65.295483 0.000000
160 89.721392 0.236122 68.335261 0.000000
161 88.458333 0.235837 67.098033 0.000000
162 88.027412 0.226309 67.530051 0.000000
163 88.660785 0.227928 68.016843 0.000000
164 89.433513 0.147074 76.112663 0.000000
268435584 89.050837 1.024174 -3.710939 0.000000
268435585 92.093700 0.975826 3.710939 0.000000
192 87.967504 0.220785 68.083967 0.000000
193 87.754386 0.204367 69.349428 0.000000
194 86.809609 0.229247 66.164012 0.000000
195 86.808911 0.184431 70.199316 0.000000
196 87.348186 0.287570 61.450130 0.000000
197 87.531499 0.263918 63.763427 0.000000
198 87.418561 0.311996 59.320710 0.000000
199 87.655602 0.255624 64.634503 0.000000
200 89.088816 0.103925 79.729456 0.000000
201 86.236244 0.232221 65.322814 0.000000
202 89.244617 0.264719 65.404439 0.000000
203 88.052333 0.276449 63.155803 0.000000
204 93.695375 0.008600 92.920890 0.000000
205 89.005383 0.269292 64.753381 0.000000
206 88.410387 0.289619 62.327729 0.000000
207 89.654506 0.275624 64.832263 0.000000
208 90.288278 0.340660 59.608997 0.000000
209 89.557815 0.109844 79.665448 0.000000
210 86.874900 0.130824 75.093104 0.000000
211 85.947667 0.256168 62.877596 0.000000
212 86.125897 0.354711 54.181168 0.000000
213 90.010865 0.349683 58.518981 0.000000
214 88.097189 0.353114 56.296264 0.000000
215 87.217703 0.297234 60.449285 0.000000
216 87.106559 0.316117 58.637559 0.000000
217 88.907795 0.278698 63.808675 0.000000
218 89.021033 0.322821 59.948267 0.000000
219 89.232057 0.103234 79.934981 0.000000
